,Nombre,Precio Total,Dirección,URL
0,Bright room in beautiful flat,99 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1241086366450711341
1,"Elegant, cosy, historic 22sqm room, high ceilings",161 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/6936087
2,"(3) Cheap, convenient rooms in Berlin",74 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/33693955
3,Generator Mitte - Bed in 8 Bed Dorm,66 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/36340336
4,"Big gorgeous room in old building, trendy district",160 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/17106359
5,"""Gerostübchen"" in the quiet Berlin outskirts of Berlin",112 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/541157805061295727
6,Numa | Large Studio near Checkpoint Charlie,257 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/721527807549293451
7,Single rooms in Schöneberg,170 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/46080792
8,Central and cozy. Private room at ALEX,188 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/997794778761639504
9,quiet room with private bathroom & close to a lake,193 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/39213715
10,Cozy central room,222 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1031023674603533408
11,Tolles Zimmer in Bester Lage - perfect location,171 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/50607233
12,Berlin Prenzlauer Berg,164 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/655468807708692551
13,Cozy room in a quiet street,169 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1224674670792635994
14,limehome Berlin Luise-Henriette-Str | Single Suite,216 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/731809279716237058
15,Bed in 6 Bed Dorm Ensuite,88 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/35816059
16,Numa | Medium Room near KaDeWe,274 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/49070135
17,Cozy room in Kreuzkölln - the heart of Berlin!,178 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1144212829079606426
18,Green Berlin to discover and chill out,142 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/36684410
19,Cozy room with TV tower views,134 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/646125561988128922
20,Schlaflos in Schöneberg?,168 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/11004682
21,"Carré Voltaire, TOP private room with balcony!",209 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/578236928583726571
22,limehome Berlin Luise-Henriette-Str. | Suite,226 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/731825380030233334
23,Quiet room + private bath in the heart of Berlin,196 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/29664434
24,Single room with shared bathroom,170 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/51549694
25,Bed in 4 bed female dorm in Mitte,62 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1004227302048029967
26,Double Hotel Gat Point Charlie Berlin,242 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/47215807
27,Numa | Modern Room in Berlin Charlottenburg,231 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1162087911576592009
28,1-room I 44m² I Balcony I Comfort,279 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/578803278177214692
29,"Nena Hostel Berlin ""bed in 6-bed room""",64 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/686106267371586136
30,Single room at Hotel Alex Berlin,194 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1209226619882895927
31,House with open minded people,88 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/5121824
32,Single Room,149 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/53104445
33,1-room Studio for up to 2 persons,186 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/25535508
34,Comfortable comfortable bedroom on ALEX,209 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/25900013
35,Cosy private room in green surroundings,117 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/17403218
36,"Modern, bright, well connected",188 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/837594868090351062
37,Private Room in Friedrichshain,201 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/25804999
38,Large room in a quiet location,181 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1173838248208686025
39,Comfortable central room,213 EUR,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1106537659134566548
