,Nombre,Precio Total,Latitud,Longitud,Dirección,URL
0,Mooeve 23 apartment in Berlin,395 EUR,52.50778579711914,13.467029571533203,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/27018624
1,"90sqm 2BR in Mitte, Netflix, Full Kitchen, Professional Cleaning, 5min Main Station, 200Mbit WIFI",569 EUR,52.52857,13.3869,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/30058984
2,Global Living: Central| Projector| Kitchen| Patio,504 EUR,52.5306937,13.4068476,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/773316312483043195
3,Villa under Oaktrees,227 EUR,52.5599159,13.05537,"Falkensee, Brandenburg, Germany",https://www.airbnb.com/rooms/1217745811511497097
4,URBAN FLATS Berlin | Flat No. 303 | City Center,427 EUR,52.52446,13.39829,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1093545039265137174
5,URBAN FLATS Berlin | Flat No. 2032 | City Center,485 EUR,52.52476638628634,13.398307447722466,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1115290984330793055
6,Five-bed room at Kurfürstendamm,330 EUR,52.50398,13.33347,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/34893511
7,bed in a hostel in Berlin centre,215 EUR,52.4983024597168,13.384405136108398,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/41362381
8,Monkey Collective Eight - 12 Monkeys Apartments,336 EUR,52.53165999999999,13.42835,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1233350892637137667
9,2-Bedroom Apt with Balcony in the Heart of Pr Berg,670 EUR,52.54068,13.40625,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/31970794
10,2BR/ central in Neukölln/ Maybachufer,435 EUR,52.4891,13.43446,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1152377967537863582
11,"MINT apartment above the city: parking, kitchen, WiFi",475 EUR,52.560989101117464,13.472866331431842,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1118753274500141421
12,Lovely big city apartment for the whole family,619 EUR,52.4140349,13.3930978,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1040321621709668304
13,Cozy apartment in the center of Berlin,479 EUR,52.52017,13.44781,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/978829391155103596
14,Arbio I Cosy Spacious Apart in Bergmannkiez,675 EUR,52.49225345524236,13.390195743925473,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/21074683
15,1-Bedroom Apartment | Balcony | Mauerpark,620 EUR,52.54072,13.40513,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/29409124
16,Central City 1/3,443 EUR,52.51147,13.41691,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1102079318028329110
17,Charming house,580 EUR,52.53651,13.48261,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/19794276
18,Loft over the rooftops of Berlin,586 EUR,52.50095,13.41611,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/17413995
19,★Boxi Jungle House★ unique in Friedrichshain | 3BR,871 EUR,52.51251,13.46292,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/558489051475905817
20,"House in Berlin with  swimming pool, sauna and terrace",444 EUR,52.40546,13.58223,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/28333870
21,URBAN FLATS Berlin | Flat No. 305 | City Center,427 EUR,52.524861396879814,13.398442297312457,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1093549575666437867
22,City-Apartment Spreeufer  in the heart of Berlin,592 EUR,52.50148,13.45556,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/45436574
23,Spacious Loft Living 130m² Apartment in Berlin,600 EUR,52.54489856373398,13.377587713940112,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1270224907404339017
24,Bestlage am Brandenburger Tor Apartment 4,804 EUR,52.51414,13.38185,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/854259609751966037
25,Nena Hostel Entire 6 bed room including bed linen,292 EUR,52.5681069,13.3789588,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/690339456370545424
26,Beauty 3Rms Aprt. in City Center Best Location,524 EUR,52.50187,13.30662,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1134619757064672263
27,Mitte Berlin,397 EUR,52.53712914187242,13.40823344886303,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1243690293459870986
28,Apartment 3-5 people at Kurfürstendamm,335 EUR,52.50425,13.33381,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/45556784
29,Luxury Apartment in Berlin,385 EUR,52.5575787615247,13.464509140395778,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1258545992615258260
30,Luxury apartments in the center,432 EUR,52.5275839,13.451643,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1258771806948913293
31,Private room for 6 people in Mitte,370 EUR,52.52668899553453,13.345808555049038,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/847738714730041206
32,Modern and cozy apartment near Berlin & Potsdam,339 EUR,52.31599567584839,13.022897326307715,"Michendorf, Brandenburg, Germany",https://www.airbnb.com/rooms/1018058429230923178
33,SCHILLERKIEZ-45m2 Studio.Pte Bathroom.Kitchenette,411 EUR,52.47603,13.42636,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/52490645
34,Trendy QUIET 3RMS Central Flat,576 EUR,52.45899,13.38246,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/832946988657393975
35,2 bedroom apartment  with balcony in Berlin-Kreuzberg,783 EUR,52.50635219999999,13.4169618,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/786310333020320107
36,Beautiful Villa in Westend Berlin,888 EUR,52.51318,13.25831,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/16583885
37,BIG Central City Flat City 2 Bath/4 Bedrooms,723 EUR,52.48121094234089,13.348150590343593,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/1263048781957328514
38,"Bed in a 6-Bed mixed dorm ,Shared Bathroom 11",318 EUR,52.51571,13.42512,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/15135834
39,Quiet bright living in the countryside walking distance to the water,513 EUR,52.4223935,13.589356,"Berlin, Berlin, Germany",https://www.airbnb.com/rooms/806300590768624612
