,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
0,1161.10,IB,MAD,BER,2024-10-30T07:50:00,2024-10-30T10:55:00,PT3H5M
1,1266.10,IB,MAD,BER,2024-10-30T07:50:00,2024-10-30T10:55:00,PT3H5M
2,1462.25,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT25H25M
3,1462.25,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT25H25M
4,1522.60,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT19H25M
5,1522.60,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT19H25M
6,1522.60,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT19H25M
7,1522.60,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT19H25M
8,1522.60,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT19H25M
9,1522.60,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT19H25M
10,1539.90,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT25H25M
11,1539.90,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT25H25M
12,1539.90,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT25H25M
13,1539.90,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT25H25M
14,1681.40,LO,MAD,WAW,2024-10-30T15:40:00,2024-10-30T19:10:00,PT19H5M
15,1810.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
16,1873.60,UX,MAD,AMS,2024-10-30T07:05:00,2024-10-30T09:40:00,PT6H20M
17,1873.60,UX,MAD,AMS,2024-10-30T15:00:00,2024-10-30T17:35:00,PT7H10M
18,1988.60,UX,MAD,AMS,2024-10-30T07:05:00,2024-10-30T09:40:00,PT6H20M
19,1988.60,UX,MAD,AMS,2024-10-30T15:00:00,2024-10-30T17:35:00,PT7H10M
20,1990.60,UX,MAD,AMS,2024-10-30T07:05:00,2024-10-30T09:40:00,PT6H20M
21,1990.60,UX,MAD,AMS,2024-10-30T15:00:00,2024-10-30T17:35:00,PT7H10M
22,2085.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
23,2087.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
24,2087.10,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
25,2087.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
26,2087.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
27,2089.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
28,2089.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
29,2089.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
30,2089.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
31,2089.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
32,2090.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
33,2090.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
34,2090.60,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
35,2090.60,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
36,2090.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
37,2090.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
38,2090.60,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
39,2090.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
40,2090.60,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
41,2090.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
42,2090.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
43,2090.60,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
44,2090.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
45,2090.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
46,2090.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
47,2090.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
48,2090.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
49,2090.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
50,2090.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
51,2090.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
52,2101.60,TK,MAD,IST,2024-10-30T12:00:00,2024-10-30T18:15:00,PT9H40M
53,2250.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
54,2250.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
55,2252.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
56,2252.10,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
57,2252.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
58,2252.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
59,2252.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
60,2252.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
61,2254.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
62,2254.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
63,2254.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
64,2254.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
65,2254.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
66,2254.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
67,2255.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
68,2255.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
69,2255.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
70,2255.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
71,2255.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
72,2255.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
73,2255.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
74,2255.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
75,2255.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
76,2255.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
77,2255.60,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
78,2255.60,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
79,2255.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
80,2255.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
81,2415.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
82,2417.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
83,2417.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
84,2419.10,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT5H20M
85,2420.60,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT4H40M
86,2420.60,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H5M
87,2445.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
88,2445.60,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT8H45M
89,2445.60,AF,MAD,CDG,2024-10-30T12:25:00,2024-10-30T14:35:00,PT5H55M
90,2447.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
91,2447.10,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
92,2447.10,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT6H40M
93,2447.10,AF,MAD,AMS,2024-10-30T13:00:00,2024-10-30T15:40:00,PT4H40M
94,2447.10,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT7H25M
95,2447.10,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H20M
