,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
0,1472.60,TP,BER,LIS,2024-11-01T06:00:00,2024-11-01T08:45:00,PT8H5M
1,1472.60,TP,BER,LIS,2024-11-01T06:00:00,2024-11-01T08:45:00,PT11H5M
2,1472.60,TP,BER,LIS,2024-11-01T06:00:00,2024-11-01T08:45:00,PT8H5M
3,2089.10,AF,BER,CDG,2024-11-01T06:55:00,2024-11-01T08:50:00,PT8H30M
4,2092.60,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H5M
5,2092.60,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H15M
6,2092.60,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H5M
7,2092.60,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H15M
8,2092.60,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H5M
9,2092.60,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H15M
10,2254.10,AF,BER,CDG,2024-11-01T12:20:00,2024-11-01T14:10:00,PT4H40M
11,2445.60,AF,BER,CDG,2024-11-01T06:55:00,2024-11-01T08:50:00,PT8H30M
12,2449.10,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H5M
13,2449.10,AF,BER,AMS,2024-11-01T06:00:00,2024-11-01T07:25:00,PT6H15M
14,2466.10,IB,BER,MAD,2024-11-01T07:00:00,2024-11-01T10:15:00,PT3H15M
15,2624.20,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
16,2624.20,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT7H35M
17,2626.65,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
18,2626.65,SN,BER,BRU,2024-11-01T11:55:00,2024-11-01T13:20:00,PT4H50M
19,2626.65,SN,BER,BRU,2024-11-01T07:10:00,2024-11-01T08:45:00,PT4H35M
20,2626.65,SN,BER,BRU,2024-11-01T11:55:00,2024-11-01T13:20:00,PT4H50M
