,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
0,1302.35,IB,MAD,VIE,2024-10-30T08:40:00,2024-10-30T11:40:00,PT3H
1,1363.85,TP,MAD,LIS,2024-10-30T12:10:00,2024-10-30T12:30:00,PT6H50M
2,1363.85,TP,MAD,LIS,2024-10-30T10:20:00,2024-10-30T10:40:00,PT8H40M
3,1363.85,TP,MAD,LIS,2024-10-30T12:10:00,2024-10-30T12:30:00,PT6H50M
4,1363.85,TP,MAD,LIS,2024-10-30T10:20:00,2024-10-30T10:40:00,PT8H40M
5,1363.85,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT14H25M
6,1363.85,TP,MAD,LIS,2024-10-30T21:10:00,2024-10-30T21:30:00,PT14H25M
7,1377.35,IB,MAD,VIE,2024-10-30T16:05:00,2024-10-30T19:05:00,PT3H
8,1627.35,IB,MAD,VIE,2024-10-30T08:40:00,2024-10-30T11:40:00,PT3H
9,1627.35,IB,MAD,VIE,2024-10-30T08:40:00,2024-10-30T11:40:00,PT3H
10,1702.35,IB,MAD,VIE,2024-10-30T16:05:00,2024-10-30T19:05:00,PT3H
11,1702.35,IB,MAD,VIE,2024-10-30T16:05:00,2024-10-30T19:05:00,PT3H
12,1751.85,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT11H25M
13,1913.35,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT11H25M
14,1913.35,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT11H25M
15,2081.85,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT11H25M
16,2081.85,AF,MAD,CDG,2024-10-30T06:00:00,2024-10-30T08:20:00,PT11H25M
17,2136.20,TK,MAD,IST,2024-10-30T12:00:00,2024-10-30T18:15:00,PT9H55M
18,2136.20,TK,MAD,IST,2024-10-30T12:00:00,2024-10-30T18:15:00,PT9H55M
19,2136.20,TK,MAD,IST,2024-10-30T12:00:00,2024-10-30T18:15:00,PT9H55M
20,2136.20,TK,MAD,IST,2024-10-30T17:50:00,2024-10-31T00:05:00,PT14H30M
21,2206.85,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT5H10M
22,2206.85,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H30M
23,2206.85,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H50M
24,2206.85,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT5H10M
25,2206.85,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H30M
26,2206.85,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H50M
27,2206.85,AF,MAD,AMS,2024-10-30T11:00:00,2024-10-30T13:35:00,PT5H10M
28,2206.85,AF,MAD,AMS,2024-10-30T06:00:00,2024-10-30T08:40:00,PT5H30M
29,2206.85,AF,MAD,AMS,2024-10-30T16:50:00,2024-10-30T19:35:00,PT5H50M
30,2333.25,LH,MAD,MUC,2024-10-30T18:25:00,2024-10-30T21:00:00,PT4H35M
31,2333.25,LH,MAD,MUC,2024-10-30T12:05:00,2024-10-30T14:40:00,PT4H40M
32,2333.25,LH,MAD,MUC,2024-10-30T07:25:00,2024-10-30T10:00:00,PT4H50M
33,2333.25,LH,MAD,MUC,2024-10-30T18:25:00,2024-10-30T21:00:00,PT4H35M
34,2333.25,LH,MAD,MUC,2024-10-30T12:05:00,2024-10-30T14:40:00,PT4H40M
35,2333.25,LH,MAD,MUC,2024-10-30T18:25:00,2024-10-30T21:00:00,PT4H35M
