,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada,Duración
0,1377.35,IB,VIE,MAD,2024-11-01T07:05:00,2024-11-01T10:15:00,PT3H10M
1,1377.35,IB,VIE,MAD,2024-11-01T12:20:00,2024-11-01T15:30:00,PT3H10M
2,2078.25,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
3,2079.30,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
4,2079.30,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
5,2082.90,SN,VIE,BRU,2024-11-01T09:10:00,2024-11-01T11:00:00,PT7H35M
6,2082.90,SN,VIE,BRU,2024-11-01T07:20:00,2024-11-01T09:05:00,PT9H25M
7,2082.90,SN,VIE,BRU,2024-11-01T09:10:00,2024-11-01T11:00:00,PT7H35M
8,2082.90,SN,VIE,BRU,2024-11-01T07:20:00,2024-11-01T09:05:00,PT9H25M
9,2083.25,OS,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
10,2084.30,OS,VIE,MUC,2024-11-01T12:55:00,2024-11-01T13:55:00,PT4H45M
11,2084.30,OS,VIE,MUC,2024-11-01T12:55:00,2024-11-01T13:55:00,PT4H45M
12,2084.30,OS,VIE,MUC,2024-11-01T09:25:00,2024-11-01T10:25:00,PT8H15M
13,2084.30,OS,VIE,MUC,2024-11-01T09:25:00,2024-11-01T10:25:00,PT8H15M
14,2117.30,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT4H
15,2117.30,LH,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT5H30M
16,2117.30,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT5H45M
17,2117.30,LH,VIE,FRA,2024-11-01T09:00:00,2024-11-01T10:30:00,PT7H
18,2117.30,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
19,2117.30,LH,VIE,MUC,2024-11-01T06:55:00,2024-11-01T07:55:00,PT4H25M
20,2118.35,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT4H
21,2118.35,LH,VIE,FRA,2024-11-01T10:30:00,2024-11-01T12:00:00,PT5H30M
22,2118.35,LH,VIE,FRA,2024-11-01T07:00:00,2024-11-01T08:30:00,PT5H45M
