,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada
0,1202.35,IB,MAD,VIE,2024-10-25T08:40:00,2024-10-25T11:40:00
1,1202.35,IB,MAD,VIE,2024-10-25T08:40:00,2024-10-25T11:40:00
2,1277.35,IB,MAD,VIE,2024-10-25T19:55:00,2024-10-25T22:55:00
3,1277.35,IB,MAD,VIE,2024-10-25T19:55:00,2024-10-25T22:55:00
4,1293.85,TP,MAD,LIS,2024-10-25T11:05:00,2024-10-25T11:25:00
5,1293.85,TP,MAD,LIS,2024-10-25T11:05:00,2024-10-25T11:25:00
6,1293.85,TP,MAD,LIS,2024-10-25T07:40:00,2024-10-25T07:55:00
7,1293.85,TP,MAD,LIS,2024-10-25T11:05:00,2024-10-25T11:25:00
8,1293.85,TP,MAD,LIS,2024-10-25T07:40:00,2024-10-25T07:55:00
9,1293.85,TP,MAD,LIS,2024-10-25T11:05:00,2024-10-25T11:25:00
10,1293.85,TP,MAD,LIS,2024-10-25T07:40:00,2024-10-25T07:55:00
11,1293.85,TP,MAD,LIS,2024-10-25T07:40:00,2024-10-25T07:55:00
12,1293.85,TP,MAD,LIS,2024-10-25T22:15:00,2024-10-25T22:35:00
13,1293.85,TP,MAD,LIS,2024-10-25T22:15:00,2024-10-25T22:35:00
14,1335.45,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
15,1335.45,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
16,1335.45,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
17,1335.45,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
18,1335.45,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
19,1335.45,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
20,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
21,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
22,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
23,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
24,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
25,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
26,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
27,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
28,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
29,1386.85,SN,MAD,BRU,2024-10-25T12:40:00,2024-10-25T14:55:00
