,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada
0,125.07,TP,BER,LIS,2024-10-27T17:10:00,2024-10-27T19:55:00
1,140.07,TP,BER,LIS,2024-10-27T17:10:00,2024-10-27T19:55:00
2,140.07,TP,BER,LIS,2024-10-27T12:50:00,2024-10-27T15:35:00
3,140.07,TP,BER,LIS,2024-10-27T06:00:00,2024-10-27T08:45:00
4,140.07,TP,BER,LIS,2024-10-27T12:50:00,2024-10-27T15:35:00
5,140.07,TP,BER,LIS,2024-10-27T06:00:00,2024-10-27T08:45:00
6,199.67,AF,BER,AMS,2024-10-27T18:25:00,2024-10-27T19:55:00
7,199.67,AF,BER,AMS,2024-10-27T10:10:00,2024-10-27T11:35:00
8,199.67,AF,BER,AMS,2024-10-27T06:00:00,2024-10-27T07:25:00
9,199.67,AF,BER,AMS,2024-10-27T06:00:00,2024-10-27T07:25:00
