,Precio Total (EUR),Aerolínea,Origen,Destino,Salida,Llegada
0,1278.85,TP,VIE,LIS,2024-10-25T13:25:00,2024-10-25T16:05:00
1,1278.85,TP,VIE,LIS,2024-10-25T13:25:00,2024-10-25T16:05:00
2,1278.85,TP,VIE,LIS,2024-10-25T13:25:00,2024-10-25T16:05:00
3,1278.85,TP,VIE,LIS,2024-10-25T13:25:00,2024-10-25T16:05:00
4,1278.85,TP,VIE,LIS,2024-10-25T19:55:00,2024-10-25T22:35:00
5,1278.85,TP,VIE,LIS,2024-10-25T19:55:00,2024-10-25T22:35:00
6,1278.85,TP,VIE,LIS,2024-10-25T19:55:00,2024-10-25T22:35:00
7,1278.85,TP,VIE,LIS,2024-10-25T19:55:00,2024-10-25T22:35:00
8,1478.25,LH,VIE,MUC,2024-10-25T13:15:00,2024-10-25T14:15:00
9,1478.25,LH,VIE,MUC,2024-10-25T17:40:00,2024-10-25T18:40:00
10,1478.25,LH,VIE,MUC,2024-10-25T13:15:00,2024-10-25T14:15:00
11,1478.25,LH,VIE,MUC,2024-10-25T17:40:00,2024-10-25T18:40:00
12,1478.25,LH,VIE,MUC,2024-10-25T13:15:00,2024-10-25T14:15:00
13,1478.25,LH,VIE,MUC,2024-10-25T17:40:00,2024-10-25T18:40:00
14,1478.25,LH,VIE,MUC,2024-10-25T09:05:00,2024-10-25T10:05:00
15,1478.25,LH,VIE,MUC,2024-10-25T09:05:00,2024-10-25T10:05:00
16,1478.25,LH,VIE,MUC,2024-10-25T09:05:00,2024-10-25T10:05:00
17,1478.25,LH,VIE,MUC,2024-10-25T13:15:00,2024-10-25T14:15:00
18,1478.25,LH,VIE,MUC,2024-10-25T17:40:00,2024-10-25T18:40:00
19,1478.25,LH,VIE,MUC,2024-10-25T09:05:00,2024-10-25T10:05:00
20,1478.25,LH,VIE,MUC,2024-10-25T13:15:00,2024-10-25T14:15:00
21,1478.25,LH,VIE,MUC,2024-10-25T17:40:00,2024-10-25T18:40:00
22,1478.25,LH,VIE,MUC,2024-10-25T09:05:00,2024-10-25T10:05:00
23,1479.30,LH,VIE,MUC,2024-10-25T13:15:00,2024-10-25T14:15:00
24,1479.30,LH,VIE,MUC,2024-10-25T17:40:00,2024-10-25T18:40:00
25,1479.30,LH,VIE,MUC,2024-10-25T09:05:00,2024-10-25T10:05:00
26,1479.30,LH,VIE,MUC,2024-10-25T13:15:00,2024-10-25T14:15:00
27,1479.30,LH,VIE,MUC,2024-10-25T17:40:00,2024-10-25T18:40:00
28,1479.30,LH,VIE,MUC,2024-10-25T09:05:00,2024-10-25T10:05:00
29,1479.30,LH,VIE,MUC,2024-10-25T13:15:00,2024-10-25T14:15:00
